type,pts,pos,tm,opp,id,q,init
2f1,0,1,PHI,POR,20111226PHIPOR,q1,0
1f1,0,2,POR,PHI,20111226PHIPOR,q2,1
1f1,2,1,PHI,POR,20111226PHIPOR,q2,0
2f1,2,2,PHI,POR,20111226PHIPOR,q3,1
2f1,2,2,POR,PHI,20111226PHIPOR,q3,0
1f1,2,2,TOR,CLE,20111226TORCLE,q1,1
1f1,2,1,CLE,TOR,20111226TORCLE,q1,0
2f1,2,2,CLE,TOR,20111226TORCLE,q2,1
2f1,2,1,TOR,CLE,20111226TORCLE,q2,0
1f1,0,2,TOR,CLE,20111226TORCLE,q3,1
1f1,2,1,CLE,TOR,20111226TORCLE,q3,0
1f1,0,2,NJN,ATL,20111227ATLNJN,q1,1
1f1,0,1,ATL,NJN,20111227ATLNJN,q1,0
2f1,6,2,ATL,NJN,20111227ATLNJN,q2,1
2f1,0,1,NJN,ATL,20111227ATLNJN,q2,0
1f1,0,1,NJN,ATL,20111227ATLNJN,q3,1
1f1,0,1,ATL,NJN,20111227ATLNJN,q3,0
1f1,0,1,BOS,MIA,20111227BOSMIA,q1,1
1f1,0,1,MIA,BOS,20111227BOSMIA,q1,0
2f1,2,2,BOS,MIA,20111227BOSMIA,q2,1
2f1,2,1,MIA,BOS,20111227BOSMIA,q2,0
1f1,1,1,MIA,BOS,20111227BOSMIA,q3,1
1f1,1,1,BOS,MIA,20111227BOSMIA,q3,0
2f1,2,2,MIN,MIL,20111227MINMIL,q1,1
2f1,4,2,MIL,MIN,20111227MINMIL,q1,0
2f1,2,2,MIN,MIL,20111227MINMIL,q2,1
2f1,0,2,MIL,MIN,20111227MINMIL,q2,0
2f1,3,2,MIN,MIL,20111227MINMIL,q3,1
2f1,0,2,MIL,MIN,20111227MINMIL,q3,0
1f1,2,1,SAC,POR,20111227SACPOR,q1,1
1f1,2,1,POR,SAC,20111227SACPOR,q1,0
2f1,1,2,POR,SAC,20111227SACPOR,q2,1
